id	fips	type	ulocal	level	totfrlPct	member	maxdown	lon	lat
1	6	4	11 	1 	71	1273	9	-118.475	34.050
2	6	1	11 	1 	46	767	9	-118.206	34.072
3	6	1	21 	1 	21	264	9	-118.362	34.089
4	6	4	21 	1 	52	924	9	-118.320	33.800
5	6	1	11 	1 	52	448	9	-118.272	34.249
6	6	1	11 	1 	6	694	9	-118.609	34.158
7	6	1	11 	3 	50	349	9	-118.261	34.058
8	6	1	11 	1 	93	418	9	-118.268	34.019
9	6	1	12 	1 	54	554	10	-121.010	37.663
10	6	1	21 	3 	65	2583	10	-120.899	37.638
11	6	2	21 	4 	92	63	9	-117.255	33.928
12	6	4	42 	3 	75	36	4	-116.474	32.624
14	6	1	21 	2 	54	1468	10	-122.047	37.590
15	6	4	21 	3 	78	464	9	-116.475	33.824
16	6	1	21 	1 	86	890	9	-118.125	34.572
17	6	1	12 	1 	97	490	10	-118.139	34.158
18	6	1	42 	3 	60	354	6	-122.055	39.009
19	6	1	21 	2 	13	1241	9	-117.027	32.980
20	6	1	21 	2 	46	1295	9	-117.182	34.111
21	6	1	11 	2 	79	841	10	-117.337	33.986
22	6	1	11 	1 	99	566	9	-117.066	32.746
23	6	1	11 	1 	93	538	9	-117.086	32.712
24	6	1	11 	2 	86	446	9	-117.171	32.788
25	6	1	11 	1 	49	348	9	-117.250	32.808
27	6	1	21 	1 	2	638	9	-118.116	34.117
28	6	1	13 	3 	17	1321	10	-122.315	37.532
29	6	1	13 	1 	33	573	5	-119.710	34.435
30	6	1	13 	2 	39	596	10	-122.036	36.974
31	6	1	42 	3 	35	608	7	-119.465	37.039
32	6	1	41 	1 	45	517	10	-120.264	37.991
34	6	1	12 	1 	7	604	9	-118.365	33.834
35	6	1	31 	2 	96	623	10	-119.361	36.200
36	6	1	12 	2 	53	954	9	-119.247	34.272
37	6	1	22 	1 	1	429	0	-121.695	36.605
38	6	1	21 	3 	86	1063	7	-119.790	36.648
40	6	4	33 	3 	57	7	7	-123.347	39.412
41	6	4	21 	3 	77	13	9	-122.566	38.027
42	6	4	13 	3 	79	14	10	-122.039	36.987
